CustomerID,Recency,Frequency,Monetary,Tenure,ReturnRate,Churn,Churn_Probability,Retention_Action
12520,10,5,2634.26,194,0.006254343,1,0.27574091,No Action
12521,73,1,599.68,0,0,1,0.631027878,Medium Risk – 15% Discount Email
12523,10,8,1142.13,252,0,0,0.137599115,No Action
12524,93,6,3122.48,171,0,0,0.278318873,No Action
12526,25,1,520.3,0,0,0,0.596730532,Low Risk – Engagement Campaign
12527,12,3,348.71,243,0,1,0.378296326,No Action
12528,45,4,1287.37,198,0.011928429,0,0.355212365,No Action
12530,54,3,1221.65,213,0.021666667,0,0.42080475,Low Risk – Engagement Campaign
12534,61,1,1089.18,0,0,1,0.622377911,Medium Risk – 15% Discount Email
12535,22,2,716.35,94,0,1,0.49852463,Low Risk – Engagement Campaign
12539,192,3,4517.69,71,0.000616903,0,0.566684781,Low Risk – Engagement Campaign
12540,8,13,10495.99,284,0.001570167,0,0.038541359,No Action
12541,103,2,536.14,107,0,0,0.555188454,Low Risk – Engagement Campaign
12545,6,2,1000.39,184,0,1,0.456644354,Low Risk – Engagement Campaign
12546,8,1,760.2,0,0,0,0.584233362,Low Risk – Engagement Campaign
12547,128,2,207.8,82,0,1,0.581940249,Low Risk – Engagement Campaign
12548,97,1,95.2,0,0,1,0.64790658,Medium Risk – 15% Discount Email
12550,10,1,964.83,0,0,1,0.585622687,Low Risk – Engagement Campaign
12551,288,1,168,0,0,1,0.766075265,Medium Risk – 15% Discount Email
12553,41,7,2419.59,219,0.028867506,0,0.194662067,No Action
12556,82,1,308.75,0,0,0,0.637433793,Medium Risk – 15% Discount Email
12557,89,4,9000.96,213,0,0,0.377116717,No Action
12559,241,2,561.71,8,0.007067138,1,0.684230593,Medium Risk – 15% Discount Email
12560,43,2,1436.31,30,0.03902439,0,0.540665689,Low Risk – Engagement Campaign
12561,233,1,238.85,0,0,1,0.73500217,Medium Risk – 15% Discount Email
12562,12,4,1993.87,116,0,0,0.355497733,No Action
12564,192,1,456.9,0,0,1,0.710138323,Medium Risk – 15% Discount Email
12565,219,1,145.92,0,0.0625,1,0.733615818,Medium Risk – 15% Discount Email
12566,17,1,351.65,0,0.003773585,1,0.591479634,Low Risk – Engagement Campaign
12567,27,9,7849.98,273,0.061137843,0,0.113867645,No Action
12569,23,15,2167.68,160,0.008168028,0,0.028792167,No Action
12571,52,1,248.35,0,0,0,0.616277974,Medium Risk – 15% Discount Email
12573,158,1,160.54,0,0,1,0.688664054,Medium Risk – 15% Discount Email
12574,246,1,218.45,0,0,1,0.742580519,Medium Risk – 15% Discount Email
12576,26,4,936.55,208,0.004511278,0,0.338402774,No Action
12577,289,1,195.89,0,0,0,0.766608092,Medium Risk – 15% Discount Email
12578,261,1,1608.66,0,0.03342246,0,0.754227358,Medium Risk – 15% Discount Email
12579,8,1,440.42,0,0.024561404,1,0.587690657,Low Risk – Engagement Campaign
12580,177,1,415.7,0,0,1,0.700743543,Medium Risk – 15% Discount Email
12582,169,2,511.36,49,0,1,0.621931038,Medium Risk – 15% Discount Email
12583,1,11,5100.24,303,0.003831418,0,0.061474356,No Action
12584,11,5,1062.39,199,0.064516129,0,0.282065632,No Action
12585,165,2,2040.1,117,0.016419077,1,0.599274829,Low Risk – Engagement Campaign
12589,75,1,131.5,0,0,0,0.63259975,Medium Risk – 15% Discount Email
12590,142,2,9864.26,0,0.000933925,1,0.614744972,Medium Risk – 15% Discount Email
12591,248,1,452.85,0,0,1,0.743664136,Medium Risk – 15% Discount Email
12592,23,2,437.6,121,0,1,0.490445792,Low Risk – Engagement Campaign
12593,39,3,418.1,110,0,1,0.440482295,Low Risk – Engagement Campaign
12594,52,8,2529.9,201,0.000694444,0,0.162086929,No Action
12596,173,1,269.95,0,0,0,0.698252668,Medium Risk – 15% Discount Email
12597,113,2,1428.81,85,0,0,0.569451401,Low Risk – Engagement Campaign
12598,1,5,1946.14,213,0.019062748,0,0.267020799,No Action
12599,57,6,857.04,177,0,0,0.256174436,No Action
12600,15,9,2219.46,287,0.001631321,0,0.106094206,No Action
12601,120,5,577.06,142,0.004081633,1,0.362896296,No Action
12604,10,2,254.18,182,0,1,0.460584954,Low Risk – Engagement Campaign
12609,8,3,1126.85,240,0,1,0.376112324,No Action
12610,37,2,1256.25,19,0.0208,0,0.537318338,Low Risk – Engagement Campaign
12612,5,1,704.04,0,0,1,0.582053049,Low Risk – Engagement Campaign
12613,128,4,1462.52,64,0,0,0.456335135,Low Risk – Engagement Campaign
12614,208,1,315.6,0,0,1,0.720021859,Medium Risk – 15% Discount Email
12615,2,2,1211.39,96,0,0,0.482586237,Low Risk – Engagement Campaign
12616,26,2,713.3,202,0.038732394,1,0.471233148,Low Risk – Engagement Campaign
12619,8,7,2760.38,175,0.001670146,0,0.185868709,No Action
12620,11,2,939.32,123,0,0,0.480543555,Low Risk – Engagement Campaign
12621,12,17,11260.64,284,0.006154898,0,0.013942384,No Action
12622,162,1,180.1,0,0,1,0.691240497,Medium Risk – 15% Discount Email
12623,207,1,305.1,0,0,1,0.719416204,Medium Risk – 15% Discount Email
12624,37,2,641.13,71,0,1,0.517483071,Low Risk – Engagement Campaign
12625,142,2,2683.82,107,0.021712159,1,0.586190724,Low Risk – Engagement Campaign
12626,43,6,4774,214,0.044073599,0,0.242585398,No Action
12627,27,5,2727.83,44,0,0,0.327544335,No Action
12633,60,3,1948.75,158,0.012172285,0,0.441534436,Low Risk – Engagement Campaign
12635,20,2,1689.18,65,0,1,0.50624516,Low Risk – Engagement Campaign
12637,22,7,5658.9,232,0.004222379,0,0.180441683,No Action
12639,169,1,486.1,0,0,1,0.695632233,Medium Risk – 15% Discount Email
12640,12,1,764.59,0,0,0,0.58716159,Low Risk – Engagement Campaign
12641,46,1,185.9,0,0,1,0.612008909,Medium Risk – 15% Discount Email
12642,38,1,366.45,0,0,0,0.60619322,Medium Risk – 15% Discount Email
12643,59,6,3344.64,204,0,1,0.249832888,No Action
12644,60,1,477.91,0,0,1,0.621889296,Medium Risk – 15% Discount Email
12645,40,3,1310.86,206,0.014545455,0,0.411786803,Low Risk – Engagement Campaign
12647,8,11,3401.67,291,0.009237875,0,0.0639826,No Action
12648,85,1,318.05,0,0,1,0.639520749,Medium Risk – 15% Discount Email
12649,38,3,623.51,105,0.020477816,1,0.444123205,Low Risk – Engagement Campaign
12651,265,1,114,0,0,1,0.753420196,Medium Risk – 15% Discount Email
12652,262,1,919.98,0,0.005940594,1,0.75212352,Medium Risk – 15% Discount Email
12653,79,2,2209.85,147,0,1,0.523395214,Low Risk – Engagement Campaign
12654,128,3,337.75,97,0,0,0.511695572,Low Risk – Engagement Campaign
12656,3,4,3465.42,161,0.008397933,0,0.336418168,No Action
12657,9,1,618.44,0,0,0,0.585019324,Low Risk – Engagement Campaign
12662,38,7,2653.66,266,0.012857143,0,0.182329702,No Action
12664,18,4,2277.08,235,0,0,0.324115022,No Action
12665,255,1,63,0,0.027027027,1,0.750629078,Medium Risk – 15% Discount Email
12668,190,3,2924.47,96,0.017991004,0,0.560050151,Low Risk – Engagement Campaign
12669,81,3,2744.03,105,0.000896861,1,0.472807625,Low Risk – Engagement Campaign
12670,29,3,1634.47,133,0,0,0.425134759,Low Risk – Engagement Campaign
12672,260,1,225.9,0,0,1,0.750573364,Medium Risk – 15% Discount Email
12673,257,1,220.9,0,0,0,0.748875631,Medium Risk – 15% Discount Email
12674,22,3,1402,116,0.030495553,0,0.429743227,Low Risk – Engagement Campaign
12676,1,5,1149.73,240,0,0,0.258263887,No Action
12678,9,10,8680.5,274,0.004223865,0,0.082827972,No Action
12679,18,3,1000.7,195,0.03125,0,0.40165223,Low Risk – Engagement Campaign
12680,4,3,613.36,39,0,0,0.437552797,Low Risk – Engagement Campaign
12681,8,16,10657.12,290,0.002543235,0,0.017705484,No Action
12682,12,22,8799.21,289,0,0,0.003741659,No Action
12683,23,12,6622.19,272,0.015577889,0,0.053259013,No Action
12684,101,4,1379.48,42,0,0,0.443409765,Low Risk – Engagement Campaign
12685,6,3,1829.02,18,0,0,0.445439764,Low Risk – Engagement Campaign
12686,302,1,89.14,0,0,1,0.773584303,Medium Risk – 15% Discount Email
12688,44,1,4873.81,0,0,1,0.608858814,Medium Risk – 15% Discount Email
12689,58,1,511.03,0,0,0,0.620456679,Medium Risk – 15% Discount Email
12690,136,1,389.01,0,0,1,0.674173303,Medium Risk – 15% Discount Email
12691,76,4,556.3,212,0,0,0.371278997,No Action
12693,57,4,855.91,192,0.019607843,1,0.366544697,No Action
12694,1,2,869.67,112,0,1,0.476674033,Low Risk – Engagement Campaign
12695,38,2,333.9,102,0,0,0.508095735,Low Risk – Engagement Campaign
12697,62,2,733.91,37,0.016713092,0,0.549755859,Low Risk – Engagement Campaign
12700,87,2,2149.05,58,0.001453488,0,0.558876767,Low Risk – Engagement Campaign
12701,10,2,797.71,162,0,1,0.466965783,Low Risk – Engagement Campaign
12703,1,1,283.55,0,0,1,0.579270527,Low Risk – Engagement Campaign
12704,8,4,1346.47,91,0,0,0.360563271,No Action
12705,8,5,5005.14,279,0.006862745,0,0.252064736,No Action
12707,222,1,603.42,0,0,1,0.728373716,Medium Risk – 15% Discount Email
12708,3,8,2399.14,296,0.027729636,0,0.129973551,No Action
12709,1,12,8025.62,295,0.030774112,0,0.04887494,No Action
12710,27,3,1149.02,104,0.002350176,1,0.433573298,Low Risk – Engagement Campaign
12712,37,11,3913.08,264,0.018027572,0,0.072052478,No Action
12714,37,4,3389.7,187,0,0,0.350760749,No Action
12715,37,1,343.36,0,0,1,0.605480875,Medium Risk – 15% Discount Email
12716,64,1,677.9,0,0,0,0.624652143,Medium Risk – 15% Discount Email
12717,82,2,1030.98,94,0.001976285,1,0.543845759,Low Risk – Engagement Campaign
12718,1,1,238.25,0,0,1,0.579287505,Low Risk – Engagement Campaign
12720,11,18,3828.32,288,0.004077792,0,0.010764123,No Action
12721,10,5,2041.81,275,0.003225806,0,0.254685932,No Action
12722,16,4,997.63,65,0.010600707,1,0.375696594,No Action
12724,12,3,823.17,250,0,0,0.375946699,No Action
12725,302,1,427.8,0,0,1,0.773493067,Medium Risk – 15% Discount Email
12726,17,6,1824.64,271,0,0,0.212035231,No Action
12727,26,6,3337.7,224,0.007403189,0,0.227680959,No Action
12728,2,4,836.33,261,0,1,0.30673077,No Action
12729,44,1,453.01,0,0,1,0.610476731,Medium Risk – 15% Discount Email
12731,1,10,14894.65,294,0.008461645,0,0.078539755,No Action
12732,110,1,236.26,0,0,1,0.656756719,Medium Risk – 15% Discount Email
12733,164,1,383.95,0,0,1,0.692460729,Medium Risk – 15% Discount Email
12734,283,1,110.4,0,0,1,0.763375733,Medium Risk – 15% Discount Email
12735,246,2,779.57,21,0,1,0.682841339,Medium Risk – 15% Discount Email
12736,263,1,234,0,0,1,0.752262527,Medium Risk – 15% Discount Email
12738,302,1,155.35,0,0,1,0.773566468,Medium Risk – 15% Discount Email
12739,9,2,1013.04,20,0,1,0.513104441,Low Risk – Engagement Campaign
12743,64,2,540.13,0,0,1,0.561110832,Low Risk – Engagement Campaign
12744,75,5,14211.97,173,0.001077586,0,0.318132354,No Action
12747,40,8,2769.4,259,0,0,0.147217329,No Action
12748,1,139,19401.2,303,0.033034629,0,1.40E-16,No Action
12749,61,3,2755.23,82,0.04537037,0,0.471559768,Low Risk – Engagement Campaign
12750,59,1,275.88,0,0,1,0.621252355,Medium Risk – 15% Discount Email
12752,12,1,4366.78,0,0,1,0.585818079,Low Risk – Engagement Campaign
12753,66,5,16620.91,226,0.013245033,0,0.298043168,No Action
12754,166,3,3010.74,72,0.000308594,1,0.547524994,Low Risk – Engagement Campaign
12755,211,2,3811.95,85,0.419181757,1,0.691380432,Medium Risk – 15% Discount Email
12756,17,1,112.08,0,0,1,0.591057815,Low Risk – Engagement Campaign
12757,73,7,5281.08,68,0.018518519,0,0.243502922,No Action
12758,47,2,2791.59,159,0,1,0.495066272,Low Risk – Engagement Campaign
12759,102,2,1082.52,104,0,0,0.55521693,Low Risk – Engagement Campaign
12763,69,2,494.08,230,0,1,0.489039587,Low Risk – Engagement Campaign
12764,247,1,1693.88,0,0,1,0.742723761,Medium Risk – 15% Discount Email
12766,80,5,4952.19,216,0,0,0.312039648,No Action
12769,169,1,1143.6,0,0,1,0.695418098,Medium Risk – 15% Discount Email
12770,141,1,1351.45,0,0,1,0.67715638,Medium Risk – 15% Discount Email
12775,120,4,1164.68,121,0.032432432,0,0.436313643,Low Risk – Engagement Campaign
12778,114,4,492.06,129,0,0,0.425073766,Low Risk – Engagement Campaign
12779,120,7,2999.41,181,0.014440433,0,0.242289919,No Action
12781,215,1,549.26,0,0.112716763,0,0.736621409,Medium Risk – 15% Discount Email
12782,80,4,2078.67,207,0.016701461,0,0.377300625,No Action
12783,6,1,339.02,0,0,0,0.582923668,Low Risk – Engagement Campaign
12785,295,1,311.95,0,0,1,0.769801281,Medium Risk – 15% Discount Email
12787,22,2,344.66,101,0,0,0.49634935,Low Risk – Engagement Campaign
12790,123,1,324.92,0,0,1,0.665517191,Medium Risk – 15% Discount Email
12791,304,1,192.6,0,0,1,0.774612187,Medium Risk – 15% Discount Email
12792,187,1,400.54,0,0,1,0.707039732,Medium Risk – 15% Discount Email
12793,265,2,545.48,36,0,1,0.690979416,Medium Risk – 15% Discount Email
12794,29,1,317,0,0,0,0.599707739,Low Risk – Engagement Campaign
12797,296,1,254.03,0,0.330508475,1,0.801459195,High Risk – Personal Call + 30% Discount
12798,101,1,1607.04,0,0,0,0.650127369,Medium Risk – 15% Discount Email
12802,117,1,427.58,0,0.038216561,1,0.666215527,Medium Risk – 15% Discount Email
12808,115,2,281.35,184,0,0,0.538987823,Low Risk – Engagement Campaign
12809,108,1,489.31,0,0.004545455,1,0.655881526,Medium Risk – 15% Discount Email
12811,191,3,514.85,23,0,1,0.582906355,Low Risk – Engagement Campaign
12814,32,1,125.92,0,0,1,0.60195006,Medium Risk – 15% Discount Email
12815,78,2,1063.46,50,0,1,0.55499925,Low Risk – Engagement Campaign
12816,26,2,572.2,80,0,1,0.506234767,Low Risk – Engagement Campaign
12817,211,1,166.04,0,0,1,0.721889928,Medium Risk – 15% Discount Email
12818,192,1,1542.08,0,0.006458558,1,0.710539348,Medium Risk – 15% Discount Email
12820,5,2,388.23,251,0,0,0.434210658,Low Risk – Engagement Campaign
12821,145,1,92.72,0,0,1,0.680211552,Medium Risk – 15% Discount Email
12822,1,2,948.88,16,0.003636364,1,0.508928024,Low Risk – Engagement Campaign
12823,5,5,1759.5,221,0,1,0.265279592,No Action
12826,2,5,1052.62,293,0.004683841,0,0.246117077,No Action
12828,29,3,415.51,31,0,0,0.458909337,Low Risk – Engagement Campaign
12829,267,2,293,23,0.002659574,1,0.696320805,Medium Risk – 15% Discount Email
12830,22,5,6414.32,80,0.000114995,0,0.312662698,No Action
12831,193,1,215.05,0,0,1,0.710835731,Medium Risk – 15% Discount Email
12832,29,1,267.8,0,0,0,0.599725902,Low Risk – Engagement Campaign
12833,76,1,417.38,0,0,1,0.633198925,Medium Risk – 15% Discount Email
12834,213,1,312.38,0,0,1,0.723055276,Medium Risk – 15% Discount Email
12836,68,3,2112.53,174,0,0,0.440519388,Low Risk – Engagement Campaign
12837,103,1,134.1,0,0,1,0.652013471,Medium Risk – 15% Discount Email
12838,304,1,390.79,0,0,0,0.774558968,Medium Risk – 15% Discount Email
12839,2,10,3376.05,295,0.000878735,0,0.079643977,No Action
12840,74,4,2726.77,82,0.00397088,1,0.410554901,Low Risk – Engagement Campaign
12841,20,18,3045.78,282,0,0,0.01113263,No Action
12842,1,2,1118.99,238,0,1,0.43519931,Low Risk – Engagement Campaign
12843,90,7,1692.31,104,0.035897436,0,0.246997632,No Action
12844,61,1,174.88,0,0,0,0.622708322,Medium Risk – 15% Discount Email
12845,198,4,354.09,22,0,1,0.523366846,Low Risk – Engagement Campaign
12849,199,1,668.85,0,0,0,0.714401842,Medium Risk – 15% Discount Email
12851,27,1,131.81,0,0,1,0.598326063,Low Risk – Engagement Campaign
12852,225,1,311.55,0,0.026845638,1,0.733202082,Medium Risk – 15% Discount Email
12853,65,6,1957.1,181,0.0225,1,0.261886528,No Action
12854,9,3,1316.25,239,0.00798722,1,0.37811512,No Action
12855,303,1,38.1,0,0,1,0.774126296,Medium Risk – 15% Discount Email
12857,141,2,1106.4,91,0,1,0.588236565,Low Risk – Engagement Campaign
12864,69,1,147.12,0,0,1,0.628374744,Medium Risk – 15% Discount Email
12865,54,1,981.38,0,0.087272727,0,0.628917907,Medium Risk – 15% Discount Email
12866,214,1,559.12,0,0,1,0.723583433,Medium Risk – 15% Discount Email
12867,27,6,3015.96,263,0.004456328,0,0.21904274,No Action
12868,116,6,1607.06,187,0,1,0.288587501,No Action
12871,15,2,380.64,123,0,1,0.483772775,Low Risk – Engagement Campaign
12872,257,2,599.97,38,0,1,0.685210197,Medium Risk – 15% Discount Email
12873,213,1,374,0,0,1,0.723036299,Medium Risk – 15% Discount Email
12875,74,2,343.23,219,0,1,0.496512031,Low Risk – Engagement Campaign
12876,127,1,726.43,0,0,0,0.668062648,Medium Risk – 15% Discount Email
12877,9,10,1160.37,280,0,0,0.082923045,No Action
12878,167,2,854.99,29,0,1,0.62660541,Medium Risk – 15% Discount Email
12879,12,2,507.7,10,0.034653465,0,0.523712618,Low Risk – Engagement Campaign
12881,206,1,298,0,0,1,0.718808694,Medium Risk – 15% Discount Email
12883,20,1,291.63,0,0,0,0.593178191,Low Risk – Engagement Campaign
12884,19,1,309.05,0,0,1,0.592443088,Low Risk – Engagement Campaign
12885,54,1,645.35,0,0.002890173,0,0.617942732,Medium Risk – 15% Discount Email
12886,150,1,775,0,0.021634615,0,0.685875518,Medium Risk – 15% Discount Email
12888,144,2,354.12,41,0.105263158,1,0.62059962,Medium Risk – 15% Discount Email
12891,116,3,331,107,0,1,0.499332873,Low Risk – Engagement Campaign
12895,17,1,267.8,0,0.042253521,0,0.596708694,Low Risk – Engagement Campaign
12897,135,2,216.5,97,0,1,0.5822433,Low Risk – Engagement Campaign
12901,12,20,13159.27,189,0.126689189,0,0.007691032,No Action
12902,195,1,138.68,0,0,1,0.712099144,Medium Risk – 15% Discount Email
12904,103,1,244.69,0,0,0,0.651974881,Medium Risk – 15% Discount Email
12906,9,2,1936.59,0,0,0,0.519366228,Low Risk – Engagement Campaign
12908,107,2,750,136,0.5,1,0.616583684,Medium Risk – 15% Discount Email
12909,18,4,1857.35,165,0.00965251,0,0.346119161,No Action
12910,9,5,2050.18,163,0,0,0.282874964,No Action
12913,213,3,866.39,85,0,0,0.578946725,Low Risk – Engagement Campaign
12915,79,2,363.65,223,0,1,0.4989526,Low Risk – Engagement Campaign
12916,69,4,2944.95,181,0.007386888,1,0.376053515,No Action
12917,58,1,594,0,0,1,0.62042663,Medium Risk – 15% Discount Email
12919,47,3,441.65,53,0.024630542,0,0.468594708,Low Risk – Engagement Campaign
12921,15,27,11395.98,289,0.008625818,0,0.00101283,No Action
12922,92,1,405.38,0,0,1,0.64434662,Medium Risk – 15% Discount Email
12924,19,4,933.7,239,0.002079002,1,0.324323231,No Action
12925,5,1,368.31,0,0,0,0.582178647,Low Risk – Engagement Campaign
12928,78,3,1136.14,211,0,0,0.436253379,Low Risk – Engagement Campaign
